Icon and Name	Location
Point Forward	Automatically received
Point Up	Automatically received
Point Down	Automatically received
Wave	Automatically received
Beckon	Talk to Yoel of Londor not far from the Foot of the High Wall bonfire and  take him into your service. Talk to him again at Firelink Shrine to get the  gesture.
Call Over	Received after you trade a Homeward Bone (or any other "Pickle pee" item)  for the first time with Pickle Pee, Pump-a-Rum Crow.  This is the only  gesture that has an associated sound, which is dependant on the gender and  voice of the user.
Welcome	Talk to the Cornyx in the Undead Settlement, and accept his services. Talk  to him at Firelink Shrine twice to get the gesture.
Applause	Talk to Leonhard once he appears in Firelink Shrine. He will be leaning  against Younger Prince Lothric's throne. He will give you five Cracked Red  Eye Orbs, and leave. Talk to him again after you've obtained a Pale Tongue,  and he will give you a key to a locked door beneath the Tower on the Wall  bonfire in the High Wall of Lothric that leads to an imprisoned Darkwraith.  Kill the Darkwraith to receive the full Red Eye Orb, then talk to Leonhard  again to receive the gesture.
Quiet Resolve	Follow Anri's questline up to Irithyll of the Boreal Valley. They will  grant you the gesture when speaking to them at the Church of Yorshka  Bonfire.
Jump For Joy	Automatically received
Joy	Automatically received
Rejoice	Give Siegward his armor in Cathedral of the Deep.
Hurrah!	Received after talking to Blacksmith Andre the second time.
Praise the Sun	Received from praying at the Altar of Sunlight in Lothric Castle, near the Dragonslayer  Armour boss fight.Video Location
My Thanks!	Obtained from Knight Slayer Tsorig upon killing him or being killed by  him, either as an invader in the Carthus Catacombs or as an NPC deep in the  Demon Ruins in Smouldering Lake.
Bow	Automatically received
Proper Bow	Received when summoning Yellowfinger Heysel in Farron Keep.  Steps:     1. Go to Rosaria's Bed Chamber and offer a Pale Tongue to the Rosaria's     Fingers covenant.    2. Yellowfinger Heysel's summon sign will appear next to the tower full     of slugs near the Keep Ruins bonfire.  Notes:     - Abyss Watchers must still be alive.    - Giving a Pale Tongue to Rosaria, Mother of Rebirth will cause Sirris     of the Sunless Realms questline to fail and you will not be able to     receive the Silvercat Ring, Sunset Armor Set, Sunset Shield, Sunless     Talisman, Dragonslayer's Axe, and the Mirrah Chain Set until the next     game cycle. She can be killed in Firelink to receive the Sunless Set and     Talisman from the  Shrine Handmaiden if her  quest has failed.  As such it     is one of the more rarely seen Gestures, with many players waiting until     NG+ to obtain it.    - There is a cap of 99 Pale Tongues you can offer. If you reach this     limit, you can't offer more, and, consequently, you can't gain this Gesture     anymore. Pale Tongues used for respec don't count on the 99 limit.
Dignified Bow	Received from meeting Yuria of Londor.
Duel Bow	Received upon summoning the Londor Pale Shade that appears in various  locations when you have five Dark Sigils (by leveling up with Yoel). These  locations are: The Farron Keep Perimeter before the Abyss Watchers fight  and outside the boss chamber for Pontiff Sulyvahn (extra requirements must  be met for the summon to appear here). Note that while Pale Shade can be  summoned for the Soul of Cinder fight, it will not perform the gesture.
Legion Etiquette	Pray to the Old Wolf of Farron in the Farron Swamp.
Darkmoon Loyalty	Received from speaking with Sirris in Firelink Shrine after giving Dreamchaser's  Ashes to the Shirine Handmaid.
By My Sword	Received from summoning Black Hand Gotthard. He will perform the gesture as  he is summoned.
Prayer	Received when you comfort Irina of Carim with your touch.
Silent Ally	Given by Orbeck of Vinheim after purchasing Aural Decoy, Farron Flashsword,  Hidden Body, Pestilent Mist and Spook. Talk to him after purchasing these  spells.
Rest	Received after resting at a bonfire for the first time.
Collapse	Received from talking to Hawkwood for the first time.
Patches Squat	Talk to Patches while he's squatting in Firelink Shrine. Can be obtained  from Lapp at the beginning of the tomb (right after where you fight  darkeater midir) in the ringed city at the bottom of the staircase.
Prostration	Recieved from Patches after replying "No" when he asks for forgiveness in  Firelink Shrine, or after confronting him in the Cathedral of the Deep  after he lowers the bridge with "You know who I am".
Toast	Recieved by talking to Siegward of Catarina after assisting him in  defeating the Demon on the way to the Road of Sacrifices. Can similarly be  received in the kitchen near the Distant Manor in Irithyll of the Boreal  Valley if previously missed.
Sleep	After receiving the Toast gesture from Siegward of Catarina, wait for him  to go to sleep. Then attempt to talk to him again. If missed the first time  you meet Siegward, it is possible to get it from him in the kitchen in  Irithyll.
Curl Up	Recieved from Greirat of the Undead Settlement after giving him Loretta's  bone. At some point upon returning to Firelink, he will be in this pose,  mourning Loretta. Attempt to talk to him to receive the gesture.
Stretch Out	Found in the Profaned Capital on corpse which looks like Laddersmith  Gilligan from Dark Souls 2, next to the first bonfire.
Path of The Dragon	Received from corpse after Oceiros, the Consumed King. This is necessary to  access Archdragon Peak. Video Location
