Name & Icon	Wgt	Effect	Location
Life Ring	0.3	Increases HP by 7%.  +1 Version : 8%  +2 Version : 9%  +3 Version : 10%	Can be selected as a Burial Gift during character creation. Can be bought  from the Shrine Handmaid in the Firelink Shrine for 1500 souls after  aquiring the Dreamchaser's Ashes.    +1 Version (NG+): Located in the Undead Settlement. Behind Siegward while  he is waiting to battle the fire demon.  +2 Version (NG+): Lothric Castle. From the dark room where you fight the  pus of man in the wyvern's hand, head outside from the back exit. Turn  right and drop down off the ledge. The ring is on a corpse. This version  can be picked up here starting in NG+.  +3 Version (NG++): In Untended Graves behind Holy King Lothric's throne.
Sun Princess Ring	0.6	Gradually restores HP (2 per second)	Found in Gwynevere's chamber after Aldrich's boss room.
Estus Ring	0.8	Increases HP restored with Estus Flask by 20%	Found at the bottom of the Tower on the left side of the Firelink Shrine.  Requires the Tower Key, sold by the Shrine Handmaid in Firelink Shrine for  20,000 Souls.
Ashen Estus Ring	0.8	Increases FP restored with Ashen Estus Flask by 20%.	Located in the Untended Graves. From the first bonfire head to the left  most path. The ring is in the coffin surrounded by Corvians.
Chloranthy Ring	0.7	Raises stamina recovery speed +7 stamina per second  +1 Version : +8 stamina per second  +2 Version : +9 stamina per second  +3 Version : +11 stamina per second	Found in Undead Settlement. After defeating the Demon alongside Siegward of  Catarina, scale the nearby building and exit onto the adjacent tower by  jumping from the roof. Maneuvering down the tower, the ring will be located  under several wooden boxes near the Mirrah Armor Set.  +1 Version (NG+) Irithyll of the Boreal Valley. Behind the pedestal with  the Ring of the Sun's First Born on top of it. Easily accessible by falling  from the ledge near Pontiff Sulyvhan's fog gate or walking from the Church  of Yorshka.   +2 Version (NG++) From the first Road of Sacrifices bonfire, head to the  wagon with the two Corvians. To the left is a crow mage. To the left of him  there's a ledge that you can drop down to that has the ring.  +3 Version (The Ringed City): Take the lift down from the Ringed City  Streets bonfire. This is the shortcut and will be unlocked as you pregress  this area. As you go down look for the side passage and roll onto it as you  go. Find the hole and drop down to the statue of Gwyn to find this ring.
Havel's Ring	1.5	Increases maximum equip load by 15%  +1 Version : +17%  +2 Version : +18%  +3 Version : + 19%	Created with the Soul of a Stray Demon  +1 Version (NG+): Archdragon Peak. From the altar that gives you the Twinkling  Dragon Torso Stone, go back down the steps. The ring is to the right of the  doorway.  +2 Version (NG++): On a wooden beam below the Prison Tower bonfire in  Irithyll of the Boreal Valley/Anor Londo, after Painting Guardian Curved  Sword and the Painting Guardian Set.  +3 Version (The Ringed City): Just below where you get invaded by Dark  Spirit Ledo, on the ledges above the swamp.
Ring of Favor	1.5	Increases max HP by 3%, stamina by 8.5% and equip load by 5%  +1 Version : Increases max HP by 4.5%, stamina by 9.5% and equip load by 6%  +2 Version : Increases max HP by 5%, stamina by 10.5% and equip load by 7%  +3 Version : Increases max HP by 6%, max Stamina by 11.5% and Equip Load by  8%	Defeat Sulyvhan's Beasts near Archdeacon McDonnell  +1 Version (NG+): Can be found in the room of Pontiff Sulyvahn's bonfire,  but is located upstairs. It can be either accessed by the shortcut in the  room or taking the path around.  +2 Version (NG++): Located in the Cathedral of the Deep. From the Cleansing  chapel bonfire, while facing the bonfire. go through the left shortcut,  head up the elevator, climb the ladder behind the tower, drop down to the  ledge, and follow the path to the top part of the chapel. To the left there  is a hollow with a giant axe. behind him is this ring.  +3 Version (The Dreg Heap) can be found on a corpse, up a large root in the  swamp just after the Earthen Peak Ruins bonfire. Retrieve it in order to  progress Lapp's questline.
Prisoner's Chain	0.8	Increases VGR (5), END (5), and VIT (5), but damage taken is increased by 4%	Soul Transposition using Soul of Champion Gundyr
Ring of Steel Protection	0.8	Decreases incoming physical damage by 10%  +1 Version : 13%  +2 Version : 15%  +3 Version : 17%	Found in the boss arena where you fight the Ancient Wyvern. After entering  through the fog gate, head up the stairs until you locate the bell. Then  proceed to the right, downstairs. There are three items lying on the  ground. Next to the items is a thin ledge that players can walk along. At  the end of the path is the ring.  +1 Version (NG+): Untended Graves behind the tower that is unlocked by the Tower  Key  +2 Version (NG++): Located in the Catacombs of Carthus. From the Abyss  Watchers Bonfire go down and head left until you find a bridge to your  right. The bridge will be defended by a large skeleton carrying a sword and  shield. Look down to the left and you will notice an item on a pillar. Drop  down from the bridge onto the pillar to obtain this ring. Turn around to  find the Carthus Pyromancy Tome.  +3 Version (The Ringed City): Immediately after The Dreg Heap bonfire, head  forward and past the horde of enemies to a corpse. When you try to grab it  you will fall and the ceiling will break, and you will fall. Once at the  bottom, out the only door, there will be an angel-like hollow firing  projectiles at you. Drop down and run past it and take cover behind the  building. Now circle around to the other side of the building along the  planks (leaving yourself exposed to the Angel's beams) to find a corpse  with the ring.
Magic Stoneplate Ring	0.6	Increases Magic Absorption by 13%  +1 Version : +17%  +2 Version : +20%	Dropped from the greatsword-wielding Consumed King's Knight guarding Oceiros,  the Consumed King  +1 Version (NG+): Farron Keep bonfire before the swamp. From that bonfire,  make a right and proceed to where the Basilisks are. The ring will be in  this area.  +2 Version (NG++): Start from the Profaned Capital Bonfire.  Take the  ladder down into the tower and head through the hole in the wall. From  there, turn right and go down the stairs. The ring is at the end of the  stairs, on the edge of a cliff.
Flame Stoneplate Ring	0.6	Increases Fire Absorption by  13%  +1 Version : +17%  +2 Version : +20%	Found on a corpse hanging at a tree overlooking the entrance of the tower  with the giant in it at Undead Settlement (the same area where you enter  the cage to join the Mound Makers).  +1 Version (NG+): Located in the Profaned Capital. In the area with the  toxic swamp, climb up the building's ladder and walk along the curved part  of roof until you see a hole in the wall to your right.  Look down,  directly across from the broken section of wall is a small ledge to drop  onto and the ring will be on a corpse.  +2 Version (NG++): Located in the Demon Ruins. From the Old King's  Antechamber bonfire, go down the immediate stairs and follow the path until  you come to a fork in the path. Left will be an illusionary wall where  there will be a Black Knight fighting a Ghru. The ring will be on a corpse  near a wall, along with a Black Knight Sword.
Thunder Stoneplate Ring	0.6	Increases Lightning Absorption by 13%  +1 Version : +17%  +2 Version : +20%	Archdragon Peak: From the second bonfire, proceed through the area until  you get outside, then near the wooden scaffold there is a ladder which  leads to the ring  +1 Version (NG+) Can be found near the Carthus Milkring, among the many  pots in the Catacombs of Carthus  +2 Version (NG++): Can be found before the Dragonslayer Armour Boss in Lothric  Castle. Before the boss fight there's a door lit by torches. Proceed trough  the door and up the stairs. Turn left trough another door then left again  to find a hole in the stone railing. Drop down to the ledge below and turn  right. Follow the ledge to find this ring. The ring is on the same small  rooftop that you would drop down to get Caitha's Chime, it's just on the  opposite end.
Dark Stoneplate Ring	0.6	Increases Dark Absorption by 13%  +1 Version : +17%  +2 Version : +20%	In Anor Londo, following the Pontiff Sulyvahn bonfire. The ring will be  guarded by Irithyllian Slaves in an area beneath the Deacons casting  Fireball.  +1 Version (NG+) : Lothric Castle Before entering the fog gate for the  Dragonslayer Armour, head left and drop down to fight the Pus of Man on the  white Wyvern. Next to the Wyvern is a room with a mimic and a doorway out  to a balcony. This ring is located on right side the balcony.  +2 Version (NG++): Farron Keep, the Keep Ruins bonfire. Leave the room  where you find 3 Ghru enemies on a bridge. Cross the bridge, you can find a  dilapidated wall to your left. In front of the wall is a flame you need to  extinguish to reach the Abyss Watchers. The ring is behind this wall,  you'll need to roll through some crucifixes to reach it.
Speckled Stoneplate Ring	0.9	Increases Magic, Fire, Lightning and Dark Absorption by 5%  +1 Version : +7%	Found on a corpse in Smouldering Lake, behind a destructible wall on the  other side from which you enter. Lure a ballista shot to break the wall  apart.  +1 Version (NG+) Cemetery of Ash. In the arena where you find the first  Ravenous Crystal Lizard.
Bloodbite Ring	0.6	Increases Bleed Resistance by 90 points  +1 Version : +140	Undead Settlement, in the sewers below Cliff Underside bonfire or beside  the Dilapidated Bridge bonfire. The Large Hound-Rat will drop the ring.  +1 Version (NG+): Smouldering Lake, make your way through the Demon Ruins  to find it in front of the ballista.
Poisonbite Ring	0.6	Increases Poison Resistance by 90 points  +1 Version : +140	Near the first short cut at Cathedral of the Deep behind the Ravenous  Crystal Lizard.  +1 Version (NG+): Undead Settlement In the graveyard beside the white birch  tree (Where the giant is shooting great arrows at you/enemies nearby)  you'll find a well hidden in a corner. The ring is on a corpse behind the  well.
Cursebite Ring	0.6	Increases Curse Resistance by 150 points	Profaned Capital, toxic swamp in the cave under the wooden bridge
Fleshbite Ring	0.9	Raises Poison, Bleed, Frost and Curse resist by 40 points  +1 Version : +60	Grand Archives, near the top floor of building just beyond the area with a  balcony overhead and multiple Scholars, there will be a set of bookcases to  the right of the stairs which lead you to the room. The ring will be  located in the corner past the Clawed Curses.  +1 Version (NG+): From the Tower on the Wall bonfire, head down to the roof  with the transforming undead on it. Before descending the ladder to  progress further, look to the nearby rooftop with fencing. Jumping will  allow you access the rooftop and the ring will be on a corpse. (The item  should be visible before jumping to the rooftop if you need confirmation)
Knight's Ring	0.8	Increases Strength by 5 points	Lothric Castle, near the Sunlight Shrine.
Hunter's Ring	0.8	Increases Dexterity by 5 points	Grand Archives- Found at the top of a tower surrounded by three  golden Winged Knights before the stairs to Prince Lothric.
Scholar Ring	0.6	Increase Intelligence by 5 points	Grand Archives - Get to the wooded bridge in the middle of the room where the crystal sage/mage mini boss ends up after attacking it, and on  the side where you drop down onto the bridge there is a lever beside it  where the brige starts that opens a shortcut + Ring.
Priestess Ring	0.6	Increases Faith by 5 points	Sold by the Shrine Handmaid in Untended Graves. Dropped by the Shrine Handmaid in Untended Graves, even if you've already  purchased it from her.
